business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to hog and pig farming.,16881.13,AgriCorp,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to dual-purpose cattle ranching and farming.,47122.48,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to beef cattle ranching and farming.,43871.88,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to all other animal production.,10499.1,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
Activities related to beef cattle ranching and farming.,35594.14,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to floriculture production.,8731.47,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to other poultry production.,6727.61,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to berry (except strawberry) farming.,31655.13,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to tobacco farming.,22431.15,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to floriculture production.,44819.81,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to tobacco farming.,28937.11,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to fur-bearing animal and rabbit production.,18524.12,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to oilseed and grain combination farming.,45733.52,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to shellfish farming.,29729.35,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to strawberry farming.,39423.2,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to cotton farming.,16251.92,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Acivities related to folriculture production.,1547.16,EcoFarms,Procured for floriculture production operations.,Floriculture Production
Irrelevant text saettnn a.eAceiimoraratile u gvct frgids,38564.98,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to potato farming.,40881.73,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to berry (except strawberry) farming.,6435.96,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to floriculture production.,4702.12,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to sheep farming.,46029.46,EcoFarms,Procured for sheep farming operations.,Sheep Farming
Activities related to dry pea and bean farming.,1999.82,CropGen,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to dry pea and bean farming.,47744.28,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to apple orchards.,45081.23,FreshFields,Procured for apple orchards operations.,Apple Orchards
 e ort iAcdatrtrgbe aatsiveil mgn.teesiuf,33675.89,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to cattle feedlots.,32306.8,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to other food crops grown under cover.,46455.17,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to potato farming.,28567.63,AgriCorp,Procured for potato farming operations.,Potato Farming
Irrelevant text  isi pglcAteea oetrfnahtemvri.st die,25991.72,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to other vegetable (except potato) and melon farming.,49149.28,EcoFarms,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to all other grain farming.,6962.32,BioHarvest,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to tree nut farming.,21859.76,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
Activities relate to dy pea and bean farming.,12350.52,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to all other animal production.,5413.95,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
Activities related to apiculture.,22926.29,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to chicken egg production.,39380.55,AgriCorp,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to cotton farming.,40335.31,FreshFields,Procured for cotton farming operations.,Cotton Farming
Activities related to broilers and other meat type chicken production.,25757.05,BioHarvest,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to other noncitrus fruit farming.,35943.72,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to dry pea and bean farming.,16577.65,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to poultry hatcheries.,15145.15,FreshFields,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to shellfish farming.,20452.85,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to chicken egg production.,24804.03,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Irrelevant text bcavnminig.l ddtana p tdyee tefarretes aio Air ,23786.79,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to broilers and other meat type chicken production.,38015.94,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to oilseed (except soybean) farming.,7042.43,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to sugarcane farming.,12410.54,CropGen,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to finfish farming and fish hatcheries.,41634.34,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to rice farming.,7844.69,FreshFields,Procured for rice farming operations.,Rice Farming
icse iei getier dg utbsefartrlmt.atvano A,43050.03,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to other aquaculture.,49322.38,CropGen,Procured for other aquaculture operations.,Other Aquaculture
Activities related to all other miscellaneous crop farming.,12895.27,BioHarvest,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to shellfish farming.,34536.12,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to fruit and tree nut combination farming.,23500.34,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities relaetd to finfish frming and fish hatcheries.,7115.71,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to oilseed (except soybean) farming.,23368.46,CropGen,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Irrelevant text rttgiea wve.amt ani etfoheics dtirlA,27894.24,BioHarvest,Procured for wheat farming operations.,Wheat Farming
Activities related to nursery and tree production.,29120.71,BioHarvest,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to beef cattle ranching and farming.,15165.5,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to oilseed (except soybean) farming.,3472.28,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to cattle feedlots.,13306.06,BioHarvest,Procured for cattle feedlots operations.,Cattle Feedlots
Irrelevant text ty te iiocAutsi eitoverutr tkrl.nocdepad,20022.19,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to dry pea and bean farming.,39291.98,CropGen,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to citrus (except orange) groves.,36389.77,AgriCorp,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
